ID,Store,Payment Method,Customer Type,Shopping Day,Amount Spent,Items Purchased,Time Spent (min),Spend per Item,Shopping Summary
1,MegaShop,Gift Card,New,Weekday,18.93,5,25.27,3.79,MegaShop | New Customer | Spent: $18.93
233,MegaShop,Credit Card,Loyal,Weekday,34.51,6,19.7,5.75,MegaShop | Loyal Customer | Spent: $34.51
234,MegaShop,Credit Card,Returning,Weekend,21.33,4,47.45,5.33,MegaShop | Returning Customer | Spent: $21.33
235,SuperMart,Cash,New,Weekend,7.96,3,46.03,2.65,SuperMart | New Customer | Spent: $7.96
236,QuickBuy,Gift Card,Returning,Weekend,15.76,5,10.71,3.15,QuickBuy | Returning Customer | Spent: $15.76
237,SuperMart,Cash,Returning,Weekday,40.63,2,13.67,20.31,SuperMart | Returning Customer | Spent: $40.63
238,MegaShop,Credit Card,New,Weekday,22.26,2,68.41,11.13,MegaShop | New Customer | Spent: $22.26
239,DiscountStore,Cash,Returning,Weekend,22.57,2,56.26,11.28,DiscountStore | Returning Customer | Spent: $22.57
240,DiscountStore,Credit Card,New,Weekend,22.0,4,29.53,5.5,DiscountStore | New Customer | Spent: $22.0
241,GroceryWorld,Gift Card,New,Weekend,44.04,3,33.86,14.68,GroceryWorld | New Customer | Spent: $44.04
242,SuperMart,Mobile Payment,Returning,Weekday,41.26,5,20.54,8.25,SuperMart | Returning Customer | Spent: $41.26
243,SuperMart,Gift Card,New,Weekend,47.19,2,36.49,23.59,SuperMart | New Customer | Spent: $47.19
244,GroceryWorld,Cash,Returning,Weekend,23.41,2,19.24,11.7,GroceryWorld | Returning Customer | Spent: $23.41
245,GroceryWorld,Cash,Returning,Weekend,27.96,3,-0.49,9.32,GroceryWorld | Returning Customer | Spent: $27.96
246,GroceryWorld,Gift Card,New,Weekend,9.83,3,10.18,3.28,GroceryWorld | New Customer | Spent: $9.83
247,MegaShop,Gift Card,Returning,Weekend,39.77,4,30.32,9.94,MegaShop | Returning Customer | Spent: $39.77
248,SuperMart,Credit Card,New,Weekend,13.32,1,13.03,13.32,SuperMart | New Customer | Spent: $13.32
249,MegaShop,Cash,Loyal,Weekday,27.17,0,28.99,0.0,MegaShop | Loyal Customer | Spent: $27.17
250,GroceryWorld,Cash,Returning,Weekday,14.03,1,13.88,14.03,GroceryWorld | Returning Customer | Spent: $14.03
251,SuperMart,Gift Card,Loyal,Weekday,19.11,4,18.26,4.78,SuperMart | Loyal Customer | Spent: $19.11
252,MegaShop,Mobile Payment,Returning,Weekday,16.63,3,42.8,5.54,MegaShop | Returning Customer | Spent: $16.63
253,MegaShop,Cash,New,Weekday,18.92,4,33.71,4.73,MegaShop | New Customer | Spent: $18.92
254,GroceryWorld,Mobile Payment,Returning,Weekday,19.61,1,29.86,19.61,GroceryWorld | Returning Customer | Spent: $19.61
255,SuperMart,Gift Card,Loyal,Weekday,19.52,5,43.18,3.9,SuperMart | Loyal Customer | Spent: $19.52
256,GroceryWorld,Gift Card,Returning,Weekday,33.33,3,37.21,11.11,GroceryWorld | Returning Customer | Spent: $33.33
257,SuperMart,Credit Card,Loyal,Weekend,13.95,4,51.7,3.49,SuperMart | Loyal Customer | Spent: $13.95
258,DiscountStore,Cash,Loyal,Weekend,27.21,4,23.1,6.8,DiscountStore | Loyal Customer | Spent: $27.21
259,QuickBuy,Mobile Payment,New,Weekday,37.18,4,23.56,9.29,QuickBuy | New Customer | Spent: $37.18
260,QuickBuy,Credit Card,New,Weekend,19.87,1,10.48,19.87,QuickBuy | New Customer | Spent: $19.87
261,QuickBuy,Cash,Returning,Weekday,17.82,4,23.57,4.46,QuickBuy | Returning Customer | Spent: $17.82
262,GroceryWorld,Credit Card,Returning,Weekday,22.69,3,44.47,7.56,GroceryWorld | Returning Customer | Spent: $22.69
263,DiscountStore,Gift Card,Loyal,Weekday,36.8,2,49.5,18.4,DiscountStore | Loyal Customer | Spent: $36.8
264,SuperMart,Cash,Loyal,Weekday,26.94,5,44.4,5.39,SuperMart | Loyal Customer | Spent: $26.94
265,MegaShop,Credit Card,New,Weekend,19.69,4,3.09,4.92,MegaShop | New Customer | Spent: $19.69
266,SuperMart,Credit Card,New,Weekend,29.84,3,46.25,9.95,SuperMart | New Customer | Spent: $29.84
267,MegaShop,Mobile Payment,Returning,Weekday,13.98,4,2.42,3.49,MegaShop | Returning Customer | Spent: $13.98
268,SuperMart,Credit Card,New,Weekday,31.81,4,43.47,7.95,SuperMart | New Customer | Spent: $31.81
269,DiscountStore,Cash,Loyal,Weekday,29.09,3,24.48,9.7,DiscountStore | Loyal Customer | Spent: $29.09
270,MegaShop,Cash,Returning,Weekday,21.92,1,40.54,21.92,MegaShop | Returning Customer | Spent: $21.92
271,GroceryWorld,Mobile Payment,Returning,Weekday,16.61,2,10.01,8.31,GroceryWorld | Returning Customer | Spent: $16.61
272,SuperMart,Cash,New,Weekday,16.13,0,47.57,0.0,SuperMart | New Customer | Spent: $16.13
273,SuperMart,Gift Card,Returning,Weekend,30.35,4,8.03,7.59,SuperMart | Returning Customer | Spent: $30.35
274,MegaShop,Cash,Returning,Weekend,37.29,1,19.97,37.29,MegaShop | Returning Customer | Spent: $37.29
275,GroceryWorld,Cash,Returning,Weekday,18.63,5,15.03,3.73,GroceryWorld | Returning Customer | Spent: $18.63
276,GroceryWorld,Credit Card,New,Weekend,29.58,1,3.69,29.58,GroceryWorld | New Customer | Spent: $29.58
277,DiscountStore,Credit Card,Returning,Weekday,4.13,4,31.42,1.03,DiscountStore | Returning Customer | Spent: $4.13
278,GroceryWorld,Cash,Loyal,Weekday,19.15,1,57.09,19.15,GroceryWorld | Loyal Customer | Spent: $19.15
279,GroceryWorld,Mobile Payment,New,Weekday,24.69,6,70.0,4.11,GroceryWorld | New Customer | Spent: $24.69
280,GroceryWorld,Credit Card,New,Weekend,15.9,4,31.46,3.98,GroceryWorld | New Customer | Spent: $15.9
281,QuickBuy,Mobile Payment,New,Weekend,15.63,1,46.75,15.63,QuickBuy | New Customer | Spent: $15.63
282,DiscountStore,Cash,Returning,Weekend,18.32,3,33.48,6.11,DiscountStore | Returning Customer | Spent: $18.32
283,SuperMart,Cash,Returning,Weekday,27.92,3,37.48,9.31,SuperMart | Returning Customer | Spent: $27.92
284,MegaShop,Gift Card,Returning,Weekend,23.13,4,24.87,5.78,MegaShop | Returning Customer | Spent: $23.13
285,SuperMart,Credit Card,New,Weekday,2.62,2,32.93,1.31,SuperMart | New Customer | Spent: $2.62
286,DiscountStore,Cash,New,Weekend,3.79,4,38.06,0.95,DiscountStore | New Customer | Spent: $3.79
287,MegaShop,Gift Card,Returning,Weekday,18.93,3,21.32,6.31,MegaShop | Returning Customer | Spent: $18.93
288,DiscountStore,Credit Card,Returning,Weekday,29.58,3,28.84,9.86,DiscountStore | Returning Customer | Spent: $29.58
289,GroceryWorld,Cash,Loyal,Weekday,-2.48,2,29.12,-1.24,GroceryWorld | Loyal Customer | Spent: $-2.48
290,MegaShop,Cash,New,Weekend,20.0,4,42.4,5.0,MegaShop | New Customer | Spent: $20.0
291,GroceryWorld,Credit Card,Returning,Weekday,19.74,3,14.01,6.58,GroceryWorld | Returning Customer | Spent: $19.74
292,SuperMart,Credit Card,Returning,Weekend,38.88,1,29.23,38.88,SuperMart | Returning Customer | Spent: $38.88
293,SuperMart,Credit Card,Returning,Weekday,21.15,1,58.68,21.15,SuperMart | Returning Customer | Spent: $21.15
294,MegaShop,Cash,Returning,Weekend,28.83,2,47.46,14.41,MegaShop | Returning Customer | Spent: $28.83
295,MegaShop,Cash,Returning,Weekend,26.41,2,50.24,13.21,MegaShop | Returning Customer | Spent: $26.41
296,DiscountStore,Gift Card,Loyal,Weekend,3.69,1,30.37,3.69,DiscountStore | Loyal Customer | Spent: $3.69
297,DiscountStore,Mobile Payment,New,Weekday,32.68,6,34.81,5.45,DiscountStore | New Customer | Spent: $32.68
298,GroceryWorld,Credit Card,New,Weekday,27.15,2,45.03,13.58,GroceryWorld | New Customer | Spent: $27.15
299,MegaShop,Cash,Returning,Weekday,30.08,5,53.4,6.02,MegaShop | Returning Customer | Spent: $30.08
300,SuperMart,Cash,Returning,Weekend,64.26,7,0.73,9.18,SuperMart | Returning Customer | Spent: $64.26
301,DiscountStore,Credit Card,New,Weekday,4.16,5,10.27,0.83,DiscountStore | New Customer | Spent: $4.16
302,DiscountStore,Mobile Payment,New,Weekday,42.25,4,49.64,10.56,DiscountStore | New Customer | Spent: $42.25
303,SuperMart,Credit Card,New,Weekday,22.13,3,25.85,7.38,SuperMart | New Customer | Spent: $22.13
304,DiscountStore,Mobile Payment,Loyal,Weekday,27.87,4,19.92,6.97,DiscountStore | Loyal Customer | Spent: $27.87
305,GroceryWorld,Cash,New,Weekend,24.54,1,11.19,24.54,GroceryWorld | New Customer | Spent: $24.54
306,MegaShop,Mobile Payment,New,Weekday,20.76,2,21.67,10.38,MegaShop | New Customer | Spent: $20.76
307,SuperMart,Gift Card,New,Weekend,19.3,4,8.96,4.83,SuperMart | New Customer | Spent: $19.3
308,MegaShop,Cash,New,Weekday,28.3,1,61.37,28.3,MegaShop | New Customer | Spent: $28.3
309,DiscountStore,Gift Card,New,Weekday,9.83,4,29.66,2.46,DiscountStore | New Customer | Spent: $9.83
310,DiscountStore,Credit Card,Returning,Weekday,32.51,6,29.13,5.42,DiscountStore | Returning Customer | Spent: $32.51
311,SuperMart,Credit Card,New,Weekday,20.84,3,38.82,6.95,SuperMart | New Customer | Spent: $20.84
312,GroceryWorld,Credit Card,Loyal,Weekday,13.7,1,44.44,13.7,GroceryWorld | Loyal Customer | Spent: $13.7
313,QuickBuy,Mobile Payment,New,Weekend,20.5,2,44.19,10.25,QuickBuy | New Customer | Spent: $20.5
314,SuperMart,Cash,Returning,Weekday,37.57,4,46.1,9.39,SuperMart | Returning Customer | Spent: $37.57
315,QuickBuy,Credit Card,Loyal,Weekend,19.65,3,20.54,6.55,QuickBuy | Loyal Customer | Spent: $19.65
316,QuickBuy,Credit Card,Returning,Weekday,28.58,1,25.53,28.58,QuickBuy | Returning Customer | Spent: $28.58
317,GroceryWorld,Cash,Returning,Weekday,17.69,7,41.54,2.53,GroceryWorld | Returning Customer | Spent: $17.69
318,QuickBuy,Credit Card,New,Weekend,32.58,2,22.09,16.29,QuickBuy | New Customer | Spent: $32.58
319,QuickBuy,Gift Card,New,Weekday,31.86,5,29.92,6.37,QuickBuy | New Customer | Spent: $31.86
320,GroceryWorld,Cash,Returning,Weekday,43.49,6,35.98,7.25,GroceryWorld | Returning Customer | Spent: $43.49
321,QuickBuy,Cash,Loyal,Weekday,23.24,1,41.78,23.24,QuickBuy | Loyal Customer | Spent: $23.24
322,QuickBuy,Cash,Returning,Weekday,31.69,0,3.33,0.0,QuickBuy | Returning Customer | Spent: $31.69
323,QuickBuy,Gift Card,Returning,Weekend,25.98,2,40.72,12.99,QuickBuy | Returning Customer | Spent: $25.98
324,SuperMart,Cash,Returning,Weekday,37.96,3,26.49,12.65,SuperMart | Returning Customer | Spent: $37.96
325,SuperMart,Gift Card,Returning,Weekend,17.81,5,40.61,3.56,SuperMart | Returning Customer | Spent: $17.81
326,SuperMart,Cash,New,Weekend,32.45,0,41.65,0.0,SuperMart | New Customer | Spent: $32.45
327,GroceryWorld,Mobile Payment,Returning,Weekday,23.05,0,54.12,0.0,GroceryWorld | Returning Customer | Spent: $23.05
328,DiscountStore,Credit Card,Loyal,Weekend,24.36,3,50.3,8.12,DiscountStore | Loyal Customer | Spent: $24.36
329,QuickBuy,Mobile Payment,New,Weekday,25.92,4,50.2,6.48,QuickBuy | New Customer | Spent: $25.92
330,QuickBuy,Credit Card,Returning,Weekend,27.52,3,51.66,9.17,QuickBuy | Returning Customer | Spent: $27.52
331,GroceryWorld,Gift Card,New,Weekday,23.84,4,34.37,5.96,GroceryWorld | New Customer | Spent: $23.84
332,QuickBuy,Mobile Payment,Returning,Weekend,27.15,3,30.48,9.05,QuickBuy | Returning Customer | Spent: $27.15
333,SuperMart,Cash,New,Weekday,40.78,5,43.09,8.16,SuperMart | New Customer | Spent: $40.78
334,DiscountStore,Credit Card,Returning,Weekday,34.85,6,40.98,5.81,DiscountStore | Returning Customer | Spent: $34.85
335,MegaShop,Credit Card,Returning,Weekend,33.69,3,25.36,11.23,MegaShop | Returning Customer | Spent: $33.69
336,QuickBuy,Mobile Payment,New,Weekend,20.44,4,36.07,5.11,QuickBuy | New Customer | Spent: $20.44
337,SuperMart,Gift Card,Returning,Weekday,16.11,1,29.47,16.11,SuperMart | Returning Customer | Spent: $16.11
338,MegaShop,Mobile Payment,Returning,Weekday,34.55,3,17.19,11.52,MegaShop | Returning Customer | Spent: $34.55
339,DiscountStore,Gift Card,Loyal,Weekend,33.76,3,49.36,11.25,DiscountStore | Loyal Customer | Spent: $33.76
340,MegaShop,Gift Card,New,Weekend,39.73,2,30.83,19.86,MegaShop | New Customer | Spent: $39.73
341,SuperMart,Credit Card,New,Weekend,18.96,4,60.73,4.74,SuperMart | New Customer | Spent: $18.96
342,MegaShop,Mobile Payment,New,Weekend,22.7,3,5.62,7.57,MegaShop | New Customer | Spent: $22.7
343,GroceryWorld,Mobile Payment,Loyal,Weekend,8.61,5,21.65,1.72,GroceryWorld | Loyal Customer | Spent: $8.61
344,MegaShop,Gift Card,Loyal,Weekend,21.08,3,30.49,7.03,MegaShop | Loyal Customer | Spent: $21.08
345,QuickBuy,Mobile Payment,Returning,Weekday,34.97,3,47.06,11.66,QuickBuy | Returning Customer | Spent: $34.97
346,QuickBuy,Cash,Loyal,Weekday,20.34,2,35.99,10.17,QuickBuy | Loyal Customer | Spent: $20.34
347,GroceryWorld,Cash,Returning,Weekend,31.4,0,34.66,0.0,GroceryWorld | Returning Customer | Spent: $31.4
348,SuperMart,Mobile Payment,Returning,Weekend,23.09,4,13.09,5.77,SuperMart | Returning Customer | Spent: $23.09
349,QuickBuy,Mobile Payment,New,Weekday,28.24,3,12.65,9.41,QuickBuy | New Customer | Spent: $28.24
350,DiscountStore,Gift Card,Returning,Weekday,13.52,2,34.84,6.76,DiscountStore | Returning Customer | Spent: $13.52
351,QuickBuy,Cash,New,Weekend,25.85,4,9.54,6.46,QuickBuy | New Customer | Spent: $25.85
352,QuickBuy,Cash,Loyal,Weekday,-4.91,6,22.02,-0.82,QuickBuy | Loyal Customer | Spent: $-4.91
353,SuperMart,Credit Card,Returning,Weekday,23.13,4,37.51,5.78,SuperMart | Returning Customer | Spent: $23.13
354,MegaShop,Gift Card,Returning,Weekday,8.7,4,15.27,2.17,MegaShop | Returning Customer | Spent: $8.7
355,QuickBuy,Credit Card,New,Weekday,37.06,2,54.08,18.53,QuickBuy | New Customer | Spent: $37.06
356,GroceryWorld,Cash,New,Weekday,32.77,1,48.36,32.77,GroceryWorld | New Customer | Spent: $32.77
357,MegaShop,Gift Card,New,Weekday,29.67,1,6.43,29.67,MegaShop | New Customer | Spent: $29.67
358,DiscountStore,Mobile Payment,New,Weekday,40.21,1,16.01,40.21,DiscountStore | New Customer | Spent: $40.21
359,SuperMart,Gift Card,New,Weekend,15.51,4,-4.29,3.88,SuperMart | New Customer | Spent: $15.51
360,DiscountStore,Mobile Payment,Loyal,Weekday,42.47,3,18.26,14.16,DiscountStore | Loyal Customer | Spent: $42.47
361,MegaShop,Mobile Payment,Returning,Weekend,34.32,4,41.5,8.58,MegaShop | Returning Customer | Spent: $34.32
362,MegaShop,Gift Card,New,Weekend,22.63,4,23.79,5.66,MegaShop | New Customer | Spent: $22.63
363,MegaShop,Mobile Payment,New,Weekday,36.36,2,36.91,18.18,MegaShop | New Customer | Spent: $36.36
364,DiscountStore,Credit Card,Returning,Weekend,13.94,6,7.16,2.32,DiscountStore | Returning Customer | Spent: $13.94
365,MegaShop,Cash,Returning,Weekday,16.75,3,41.97,5.58,MegaShop | Returning Customer | Spent: $16.75
366,DiscountStore,Mobile Payment,Returning,Weekend,18.91,1,21.67,18.91,DiscountStore | Returning Customer | Spent: $18.91
367,MegaShop,Credit Card,Loyal,Weekday,19.71,3,30.18,6.57,MegaShop | Loyal Customer | Spent: $19.71
368,GroceryWorld,Mobile Payment,Returning,Weekend,14.43,2,28.61,7.22,GroceryWorld | Returning Customer | Spent: $14.43
369,MegaShop,Cash,Loyal,Weekend,37.23,2,10.93,18.62,MegaShop | Loyal Customer | Spent: $37.23
370,DiscountStore,Credit Card,Loyal,Weekday,22.41,3,12.7,7.47,DiscountStore | Loyal Customer | Spent: $22.41
371,QuickBuy,Cash,New,Weekday,28.53,3,44.52,9.51,QuickBuy | New Customer | Spent: $28.53
372,MegaShop,Cash,Loyal,Weekend,19.3,3,35.98,6.43,MegaShop | Loyal Customer | Spent: $19.3
373,QuickBuy,Credit Card,New,Weekend,6.79,3,45.75,2.26,QuickBuy | New Customer | Spent: $6.79
374,GroceryWorld,Credit Card,Loyal,Weekday,27.7,6,34.87,4.62,GroceryWorld | Loyal Customer | Spent: $27.7
375,SuperMart,Credit Card,New,Weekend,5.88,6,32.14,0.98,SuperMart | New Customer | Spent: $5.88
376,GroceryWorld,Gift Card,Loyal,Weekday,24.31,3,4.11,8.1,GroceryWorld | Loyal Customer | Spent: $24.31
377,MegaShop,Credit Card,Loyal,Weekend,11.32,3,25.94,3.77,MegaShop | Loyal Customer | Spent: $11.32
378,QuickBuy,Credit Card,Loyal,Weekday,44.87,3,29.59,14.96,QuickBuy | Loyal Customer | Spent: $44.87
379,QuickBuy,Credit Card,Returning,Weekend,34.11,2,59.3,17.06,QuickBuy | Returning Customer | Spent: $34.11
380,DiscountStore,Credit Card,New,Weekday,26.06,3,40.3,8.69,DiscountStore | New Customer | Spent: $26.06
381,QuickBuy,Mobile Payment,New,Weekday,37.64,3,53.04,12.55,QuickBuy | New Customer | Spent: $37.64
382,DiscountStore,Gift Card,Returning,Weekday,16.54,3,38.96,5.51,DiscountStore | Returning Customer | Spent: $16.54
383,SuperMart,Cash,New,Weekday,30.43,1,19.33,30.43,SuperMart | New Customer | Spent: $30.43
384,MegaShop,Credit Card,Returning,Weekday,27.0,4,31.76,6.75,MegaShop | Returning Customer | Spent: $27.0
385,DiscountStore,Mobile Payment,New,Weekday,27.64,1,33.54,27.64,DiscountStore | New Customer | Spent: $27.64
386,SuperMart,Mobile Payment,Loyal,Weekend,37.72,4,15.91,9.43,SuperMart | Loyal Customer | Spent: $37.72
387,QuickBuy,Mobile Payment,Returning,Weekday,32.32,2,24.23,16.16,QuickBuy | Returning Customer | Spent: $32.32
388,QuickBuy,Cash,Loyal,Weekday,27.89,2,26.91,13.94,QuickBuy | Loyal Customer | Spent: $27.89
389,SuperMart,Credit Card,New,Weekday,8.45,5,54.08,1.69,SuperMart | New Customer | Spent: $8.45
390,QuickBuy,Gift Card,Loyal,Weekday,15.4,4,-1.21,3.85,QuickBuy | Loyal Customer | Spent: $15.4
391,SuperMart,Gift Card,Loyal,Weekday,23.77,1,48.09,23.77,SuperMart | Loyal Customer | Spent: $23.77
392,DiscountStore,Mobile Payment,Returning,Weekday,25.93,1,15.95,25.93,DiscountStore | Returning Customer | Spent: $25.93
393,DiscountStore,Cash,Returning,Weekday,13.7,5,9.42,2.74,DiscountStore | Returning Customer | Spent: $13.7
394,SuperMart,Cash,Returning,Weekday,49.12,3,47.7,16.37,SuperMart | Returning Customer | Spent: $49.12
395,DiscountStore,Cash,New,Weekday,40.16,1,40.98,40.16,DiscountStore | New Customer | Spent: $40.16
396,DiscountStore,Gift Card,Returning,Weekday,31.02,1,48.82,31.02,DiscountStore | Returning Customer | Spent: $31.02
397,DiscountStore,Mobile Payment,New,Weekday,25.72,5,42.01,5.14,DiscountStore | New Customer | Spent: $25.72
398,GroceryWorld,Credit Card,New,Weekday,22.88,4,60.9,5.72,GroceryWorld | New Customer | Spent: $22.88
399,MegaShop,Gift Card,New,Weekend,15.48,4,38.38,3.87,MegaShop | New Customer | Spent: $15.48
400,QuickBuy,Mobile Payment,New,Weekday,25.77,1,27.65,25.77,QuickBuy | New Customer | Spent: $25.77
401,GroceryWorld,Mobile Payment,New,Weekend,27.58,0,35.14,0.0,GroceryWorld | New Customer | Spent: $27.58
402,DiscountStore,Credit Card,New,Weekday,12.58,4,48.65,3.15,DiscountStore | New Customer | Spent: $12.58
403,SuperMart,Credit Card,Loyal,Weekend,28.34,2,18.31,14.17,SuperMart | Loyal Customer | Spent: $28.34
404,DiscountStore,Credit Card,Returning,Weekend,23.45,4,20.22,5.86,DiscountStore | Returning Customer | Spent: $23.45
405,MegaShop,Cash,Loyal,Weekday,5.92,1,25.37,5.92,MegaShop | Loyal Customer | Spent: $5.92
406,DiscountStore,Credit Card,Returning,Weekend,16.4,1,-1.57,16.4,DiscountStore | Returning Customer | Spent: $16.4
407,SuperMart,Mobile Payment,New,Weekday,20.86,4,32.07,5.22,SuperMart | New Customer | Spent: $20.86
408,MegaShop,Credit Card,Returning,Weekday,43.88,2,1.71,21.94,MegaShop | Returning Customer | Spent: $43.88
409,DiscountStore,Mobile Payment,Returning,Weekend,30.57,1,30.8,30.57,DiscountStore | Returning Customer | Spent: $30.57
410,MegaShop,Gift Card,New,Weekend,11.65,1,42.98,11.65,MegaShop | New Customer | Spent: $11.65
411,QuickBuy,Cash,Returning,Weekday,29.86,3,22.85,9.95,QuickBuy | Returning Customer | Spent: $29.86
412,QuickBuy,Gift Card,New,Weekday,9.53,4,55.16,2.38,QuickBuy | New Customer | Spent: $9.53
413,DiscountStore,Gift Card,Returning,Weekday,35.83,2,8.09,17.91,DiscountStore | Returning Customer | Spent: $35.83
414,MegaShop,Mobile Payment,Returning,Weekday,20.29,2,47.87,10.14,MegaShop | Returning Customer | Spent: $20.29
415,SuperMart,Gift Card,New,Weekend,24.06,4,40.13,6.02,SuperMart | New Customer | Spent: $24.06
416,DiscountStore,Mobile Payment,New,Weekday,38.26,3,4.26,12.75,DiscountStore | New Customer | Spent: $38.26
417,QuickBuy,Credit Card,Returning,Weekday,12.13,1,70.66,12.13,QuickBuy | Returning Customer | Spent: $12.13
418,QuickBuy,Credit Card,Returning,Weekday,11.03,1,29.04,11.03,QuickBuy | Returning Customer | Spent: $11.03
419,DiscountStore,Mobile Payment,New,Weekday,19.16,3,16.84,6.39,DiscountStore | New Customer | Spent: $19.16
420,MegaShop,Credit Card,Loyal,Weekday,35.38,2,8.89,17.69,MegaShop | Loyal Customer | Spent: $35.38
421,QuickBuy,Cash,New,Weekend,9.81,3,26.7,3.27,QuickBuy | New Customer | Spent: $9.81
422,MegaShop,Gift Card,Returning,Weekend,-3.32,2,28.09,-1.66,MegaShop | Returning Customer | Spent: $-3.32
423,QuickBuy,Cash,Loyal,Weekend,20.49,6,31.54,3.41,QuickBuy | Loyal Customer | Spent: $20.49
424,QuickBuy,Gift Card,New,Weekday,30.52,7,25.53,4.36,QuickBuy | New Customer | Spent: $30.52
425,GroceryWorld,Credit Card,New,Weekend,37.0,4,39.5,9.25,GroceryWorld | New Customer | Spent: $37.0
426,QuickBuy,Cash,New,Weekend,20.37,2,24.19,10.18,QuickBuy | New Customer | Spent: $20.37
427,SuperMart,Credit Card,New,Weekend,20.89,2,0.98,10.44,SuperMart | New Customer | Spent: $20.89
428,DiscountStore,Gift Card,New,Weekday,36.54,0,27.76,0.0,DiscountStore | New Customer | Spent: $36.54
429,DiscountStore,Mobile Payment,Returning,Weekday,6.3,5,-5.51,1.26,DiscountStore | Returning Customer | Spent: $6.3
430,MegaShop,Mobile Payment,New,Weekday,21.11,2,35.31,10.56,MegaShop | New Customer | Spent: $21.11
431,QuickBuy,Cash,Returning,Weekday,26.9,4,15.31,6.73,QuickBuy | Returning Customer | Spent: $26.9
432,SuperMart,Credit Card,Loyal,Weekday,29.49,4,32.45,7.37,SuperMart | Loyal Customer | Spent: $29.49
433,MegaShop,Credit Card,Loyal,Weekday,19.9,4,49.71,4.98,MegaShop | Loyal Customer | Spent: $19.9
434,GroceryWorld,Cash,Returning,Weekday,25.34,5,15.77,5.07,GroceryWorld | Returning Customer | Spent: $25.34
435,MegaShop,Mobile Payment,New,Weekend,0.12,3,45.92,0.04,MegaShop | New Customer | Spent: $0.12
436,MegaShop,Gift Card,Returning,Weekday,18.42,3,23.5,6.14,MegaShop | Returning Customer | Spent: $18.42
437,QuickBuy,Cash,Returning,Weekday,29.54,5,56.3,5.91,QuickBuy | Returning Customer | Spent: $29.54
438,GroceryWorld,Gift Card,Returning,Weekend,15.18,4,24.52,3.79,GroceryWorld | Returning Customer | Spent: $15.18
439,MegaShop,Mobile Payment,New,Weekend,25.59,3,17.39,8.53,MegaShop | New Customer | Spent: $25.59
440,SuperMart,Credit Card,Loyal,Weekend,29.47,4,40.31,7.37,SuperMart | Loyal Customer | Spent: $29.47
441,SuperMart,Mobile Payment,Returning,Weekend,21.57,3,23.46,7.19,SuperMart | Returning Customer | Spent: $21.57
442,DiscountStore,Cash,New,Weekday,26.7,3,17.38,8.9,DiscountStore | New Customer | Spent: $26.7
443,GroceryWorld,Credit Card,New,Weekend,15.37,4,22.83,3.84,GroceryWorld | New Customer | Spent: $15.37
444,GroceryWorld,Cash,Returning,Weekday,22.93,3,29.33,7.64,GroceryWorld | Returning Customer | Spent: $22.93
445,DiscountStore,Cash,Loyal,Weekday,31.1,1,50.13,31.1,DiscountStore | Loyal Customer | Spent: $31.1
446,MegaShop,Mobile Payment,Returning,Weekday,26.57,3,0.99,8.86,MegaShop | Returning Customer | Spent: $26.57
447,GroceryWorld,Cash,Returning,Weekday,19.13,2,30.35,9.57,GroceryWorld | Returning Customer | Spent: $19.13
448,SuperMart,Mobile Payment,New,Weekday,27.24,2,39.37,13.62,SuperMart | New Customer | Spent: $27.24
449,SuperMart,Credit Card,Returning,Weekend,32.15,4,32.9,8.04,SuperMart | Returning Customer | Spent: $32.15
450,QuickBuy,Mobile Payment,Returning,Weekend,4.5,4,49.65,1.13,QuickBuy | Returning Customer | Spent: $4.5
451,GroceryWorld,Credit Card,New,Weekday,36.59,1,28.88,36.59,GroceryWorld | New Customer | Spent: $36.59
452,MegaShop,Mobile Payment,New,Weekday,21.64,7,27.23,3.09,MegaShop | New Customer | Spent: $21.64
453,DiscountStore,Gift Card,Returning,Weekend,29.25,3,38.88,9.75,DiscountStore | Returning Customer | Spent: $29.25
454,DiscountStore,Gift Card,New,Weekend,36.97,2,31.49,18.49,DiscountStore | New Customer | Spent: $36.97
455,MegaShop,Cash,Returning,Weekday,11.28,6,24.14,1.88,MegaShop | Returning Customer | Spent: $11.28
456,QuickBuy,Mobile Payment,New,Weekend,17.91,0,37.74,0.0,QuickBuy | New Customer | Spent: $17.91
457,DiscountStore,Mobile Payment,New,Weekday,22.11,6,20.21,3.69,DiscountStore | New Customer | Spent: $22.11
458,GroceryWorld,Credit Card,New,Weekday,17.16,3,20.83,5.72,GroceryWorld | New Customer | Spent: $17.16
459,QuickBuy,Cash,Loyal,Weekend,42.35,3,22.08,14.12,QuickBuy | Loyal Customer | Spent: $42.35
460,GroceryWorld,Mobile Payment,Loyal,Weekday,16.43,5,50.3,3.29,GroceryWorld | Loyal Customer | Spent: $16.43
461,SuperMart,Cash,Loyal,Weekday,19.44,5,-18.32,3.89,SuperMart | Loyal Customer | Spent: $19.44
462,QuickBuy,Gift Card,Returning,Weekend,27.04,2,35.93,13.52,QuickBuy | Returning Customer | Spent: $27.04
463,DiscountStore,Mobile Payment,New,Weekend,12.98,4,30.51,3.24,DiscountStore | New Customer | Spent: $12.98
464,QuickBuy,Mobile Payment,Returning,Weekday,21.04,3,4.79,7.01,QuickBuy | Returning Customer | Spent: $21.04
465,QuickBuy,Cash,Returning,Weekday,28.17,6,34.65,4.7,QuickBuy | Returning Customer | Spent: $28.17
466,QuickBuy,Mobile Payment,Loyal,Weekday,21.67,1,37.14,21.67,QuickBuy | Loyal Customer | Spent: $21.67
